Text3,Text1,Text,Field,Hempfield_Area_HS_8,Text2
1/20/2024,Twirlers: SNT,Hempfield Area MS (8),EQ70-130,"13.350 2
nd",
1/20/2024,Twirlers: SNT,Hempfield Area MS (8),MV70-130,"14.740 1
st",
1/20/2024,Twirlers: SNT,Hempfield Area MS (8),DES 70/130,"10.820 2
nd",
1/20/2024,Twirlers: SNT,Hempfield Area MS (8),GE 70/130,"10.610 1
st",
1/20/2024,Twirlers: SNT,Hempfield Area MS (8),GE 70/130,"10.750 2
nd",
1/20/2024,Twirlers: SNT,Hempfield Area MS (8),Total,,60.270
1/20/2024,Twirlers: INT,Wolf's Performing Arts,EQ70-130,"13.830 1
st",
1/20/2024,Twirlers: INT,Wolf's Performing Arts,MV70-130,"13.340 1
st",
1/20/2024,Twirlers: INT,Wolf's Performing Arts,DES 70/130,"10.630 1
st",
1/20/2024,Twirlers: INT,Wolf's Performing Arts,GE 70/130,"11.010 1
st",
1/20/2024,Twirlers: INT,Wolf's Performing Arts,GE 70/130,"10.350 1
st",
1/20/2024,Twirlers: INT,Wolf's Performing Arts,Total,,59.160
1/20/2024,Twirlers: IRT,Fast Forward,EQ70-130,"14.750 1
st",
1/20/2024,Twirlers: IRT,Fast Forward,MV70-130,"15.540 1
st",
1/20/2024,Twirlers: IRT,Fast Forward,DES 70/130,"12.620 1
st",
1/20/2024,Twirlers: IRT,Fast Forward,GE 70/130,"11.680 2
nd",
1/20/2024,Twirlers: IRT,Fast Forward,GE 70/130,"12.540 1
st",
1/20/2024,Twirlers: IRT,Fast Forward,Total,,67.130
1/20/2024,Twirlers: IAT,Fast Forward,EQ70-130,"14.350 1
st",
1/20/2024,Twirlers: IAT,Fast Forward,MV70-130,"14.540 1
st",
1/20/2024,Twirlers: IAT,Fast Forward,DES 10/10,"12.700 1
st",
1/20/2024,Twirlers: IAT,Fast Forward,GE 10/10,"12.800 1
st",
1/20/2024,Twirlers: IAT,Fast Forward,GE 10/10,"12.000 1
st",
1/20/2024,Twirlers: IAT,Fast Forward,Total,,66.390
1/20/2024,Twirlers: SAT,Hempfield Area HS (8),EQ70-130,"13.350 1
st",
1/20/2024,Twirlers: SAT,Hempfield Area HS (8),MV70-130,"12.010 1
st",
1/20/2024,Twirlers: SAT,Hempfield Area HS (8),DES 10/10,"10.600 1
st",
1/20/2024,Twirlers: SAT,Hempfield Area HS (8),GE 10/10,"10.600 1
st",
1/20/2024,Twirlers: SAT,Hempfield Area HS (8),GE 10/10,"10.600 1
st",
1/20/2024,Twirlers: SAT,Hempfield Area HS (8),Total,,57.160
1/20/2024,Dance: ICD,Exquisite Cadets,CAD D,"Silver 1
st",
1/20/2024,Dance: ICD,Exquisite Cadets,CAD D,"Silver 1
st",
1/20/2024,Dance: ICD,Exquisite Cadets,Total,,Silver
1/20/2024,Dance: IND,Dancer's Haven,MV70-130-DANCE,"26.020 1
st",
1/20/2024,Dance: IND,Dancer's Haven,DES 70/130,"10.220 1
st",
1/20/2024,Dance: IND,Dancer's Haven,GE 70/130,"10.280 1
st",
1/20/2024,Dance: IND,Dancer's Haven,GE 70/130,"10.490 1
st",
1/20/2024,Dance: IND,Dancer's Haven,Total,,57.010
1/20/2024,Dance: IRD,Fast Forward,MV70-130-DANCE,"31.080 1
st",
1/20/2024,Dance: IRD,Fast Forward,DES 70/130,"12.490 2
nd",
